ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,lat,lon,harita,osm_id
Ankara Büyükşehir Belediyesi,cafe,fast_food,,,,,yes,,,39.9203889,32.8094013,"https://www.google.com/maps/search/?api=1&query=39.9203889,32.8094013",way/897121005
Ankara Hamsi,restaurant,,,,,,,,,39.9303677,32.8163510,"https://www.google.com/maps/search/?api=1&query=39.9303677,32.8163510",node/4658725694
Ankara Ocakbaşı,restaurant,,,,,,,,,39.8673859,32.8567278,"https://www.google.com/maps/search/?api=1&query=39.8673859,32.8567278",node/6308884638
Ankara Simitçisi,cafe,,,,,,,,,39.9231245,32.8549042,"https://www.google.com/maps/search/?api=1&query=39.9231245,32.8549042",node/4630875929
Antakya Efsanesi,restaurant,,,,,"Mo-Fr 11:00-22:30; Sa,Su 12:00-22:30",,,,39.9183321,32.8586870,"https://www.google.com/maps/search/?api=1&query=39.9183321,32.8586870",node/9320777752
Antep Sis,restaurant,turkish,,,,,,,,39.9296070,32.8261859,"https://www.google.com/maps/search/?api=1&query=39.9296070,32.8261859",node/1904701611
Any Pizza,fast_food,pizza,,,,,,,,39.9225571,32.8172623,"https://www.google.com/maps/search/?api=1&query=39.9225571,32.8172623",node/13990200802
Anıt Lezzet,restaurant,turkish,+90 312 229 90 97,,,Mo-Su 10:00-21:00,,,İlk Sokak 37,39.9207176,32.8399015,"https://www.google.com/maps/search/?api=1&query=39.9207176,32.8399015",node/5681740522
Ara Sokak Pub / Vegan Taş Fırın,pub,,,,,,,,Esat Caddesi 52,39.9107114,32.8605688,"https://www.google.com/maps/search/?api=1&query=39.9107114,32.8605688",node/13238834901
Ara Sıcak,restaurant,,,,,,,,,39.8923986,32.8579272,"https://www.google.com/maps/search/?api=1&query=39.8923986,32.8579272",node/7197330885
Arabica,cafe,coffee_shop,,,,Mo-Su 08:00-01:00,,wlan,,39.9320289,32.8255082,"https://www.google.com/maps/search/?api=1&query=39.9320289,32.8255082",node/5289332050
Arada Ocakbaşı,restaurant,,,,,,,,Azerbaycan Caddesi,39.9205726,32.8293861,"https://www.google.com/maps/search/?api=1&query=39.9205726,32.8293861",node/13986371701
Ardahan Posoflular Sosyal Dayanışma Eğitim Kültür Derneği,cafe,tea,,,,,,,,39.8824365,32.8189847,"https://www.google.com/maps/search/?api=1&query=39.8824365,32.8189847",node/13912981370
Ardıç Kitabevi Cafe,cafe,,,,,,,,,39.9192569,32.8557711,"https://www.google.com/maps/search/?api=1&query=39.9192569,32.8557711",node/9953411419
Arjantin Pide Kebap,restaurant,turkish,,,,,,,Hasan Celal Güzel Caddesi,39.8937757,32.8032637,"https://www.google.com/maps/search/?api=1&query=39.8937757,32.8032637",node/501600080
Arnavut Chef,fast_food,sandwich,,,,,,,Kazakistan Caddesi,39.9223189,32.8226170,"https://www.google.com/maps/search/?api=1&query=39.9223189,32.8226170",node/13990311101
Arquet Burger,fast_food,,,,,,,,Azerbaycan Caddesi,39.9270576,32.8266693,"https://www.google.com/maps/search/?api=1&query=39.9270576,32.8266693",node/14002929001
Aslı Börek,restaurant,,,,,,,,,39.9309642,32.8260307,"https://www.google.com/maps/search/?api=1&query=39.9309642,32.8260307",node/309903646
Aspava,restaurant,,,,,,,,,39.9267482,32.8944360,"https://www.google.com/maps/search/?api=1&query=39.9267482,32.8944360",node/4314366825
Aspava kebap,restaurant,,,,,,,,,39.9188615,32.8270898,"https://www.google.com/maps/search/?api=1&query=39.9188615,32.8270898",node/4370459094
Atakule,restaurant,,,,,,yes,,,39.8862856,32.8557137,"https://www.google.com/maps/search/?api=1&query=39.8862856,32.8557137",node/10066742625
Ayaküstü Kahve,cafe,,,,,,,,Ziyabey Caddesi,39.9109197,32.8202541,"https://www.google.com/maps/search/?api=1&query=39.9109197,32.8202541",node/8432954217
Ayvalık Meze Balık,restaurant,,,,,,,,,39.9082487,32.8608370,"https://www.google.com/maps/search/?api=1&query=39.9082487,32.8608370",node/4626474024
Ayvaz,restaurant,,,,,,,,,39.9041487,32.8598330,"https://www.google.com/maps/search/?api=1&query=39.9041487,32.8598330",node/4626474032
Aşiyan Pastanesi,cafe,,,,,,yes,,,39.9313559,32.8767831,"https://www.google.com/maps/search/?api=1&query=39.9313559,32.8767831",node/6321572856
B'Stop,pub,,,,,,no,,Ahmet Mithat Efendi Sokağı,39.8844517,32.8548267,"https://www.google.com/maps/search/?api=1&query=39.8844517,32.8548267",node/12851080202
Babel,bar,,,,,,,,,39.9189839,32.8561906,"https://www.google.com/maps/search/?api=1&query=39.9189839,32.8561906",node/4621807654
Backhouse Grunge&Rock Bar,bar,,+90 312 435 07 24,,backhouserockbar,Mo-Su 12:00-01:00,,wlan,İnkılap Sokak 5,39.9227454,32.8560311,"https://www.google.com/maps/search/?api=1&query=39.9227454,32.8560311",node/11160806107
Bagel-i Manyak,fast_food,bagel,,,,,,,,39.8965113,32.8574646,"https://www.google.com/maps/search/?api=1&query=39.8965113,32.8574646",node/12539033009
Bahar Cafe Bar,bar,,,,,Mo-Su 09:00-01:00,,,Konur Sokak 26,39.9172591,32.8563433,"https://www.google.com/maps/search/?api=1&query=39.9172591,32.8563433",node/10274835864
Bahçeli Falan,fast_food,,,,,,,,,39.9209793,32.8294814,"https://www.google.com/maps/search/?api=1&query=39.9209793,32.8294814",node/13752792501
Bahçeli Simit,cafe,,,,,,,,Oğuzhan Asiltürk Caddesi,39.9245977,32.8262502,"https://www.google.com/maps/search/?api=1&query=39.9245977,32.8262502",node/14024239401
Bakalım N'olcak,restaurant,,+90 312 482 04 01,,,08:00-00:00,,,,39.8766182,32.8357592,"https://www.google.com/maps/search/?api=1&query=39.8766182,32.8357592",node/11203819569
Bake & Joy,cafe,dessert;cake,,https://www.instagram.com/bakenjoybakery/,,,,,Şehit Pilot Mustafa Atakan Dut Caddesi 13,39.9044636,32.8468159,"https://www.google.com/maps/search/?api=1&query=39.9044636,32.8468159",node/10166304371
Baklavacı Hacıbaba,restaurant,,,,,,,,,39.8925199,32.8123048,"https://www.google.com/maps/search/?api=1&query=39.8925199,32.8123048",node/4652805870
Baklavacı Karagöz,cafe,,,,,,,,,39.9222493,32.8572342,"https://www.google.com/maps/search/?api=1&query=39.9222493,32.8572342",node/6363469218
Baklavacı Şemsettin,restaurant,,,,,,,,,39.9186622,32.8600323,"https://www.google.com/maps/search/?api=1&query=39.9186622,32.8600323",node/9320777746
Balcon,cafe,,,,,,,,,39.9088948,32.8588287,"https://www.google.com/maps/search/?api=1&query=39.9088948,32.8588287",node/4615157585
Balyozun Yeri,restaurant,,,,,,,,,39.9338887,32.8791891,"https://www.google.com/maps/search/?api=1&query=39.9338887,32.8791891",node/14023991801
Balık Pişirme Evi,restaurant,fish,,,,,,,,39.8722337,32.8595254,"https://www.google.com/maps/search/?api=1&query=39.8722337,32.8595254",node/310403033
Balıkhan,restaurant,,,,,,,,,39.8673206,32.8570941,"https://www.google.com/maps/search/?api=1&query=39.8673206,32.8570941",node/4411428480
Balıkhane,restaurant,,,,,,,,,39.9224051,32.8566992,"https://www.google.com/maps/search/?api=1&query=39.9224051,32.8566992",node/4621720970
Balıkçı,fast_food,fish;sandwich,,,,,yes,,,39.8922210,32.7885595,"https://www.google.com/maps/search/?api=1&query=39.8922210,32.7885595",node/718505717
Başak Kır Pidesi,restaurant,,,,,,,,Oğuzhan Asiltürk Caddesi,39.9250439,32.8274862,"https://www.google.com/maps/search/?api=1&query=39.9250439,32.8274862",node/14024239501
Beeves Burger,restaurant,,,,,,,,,39.9072776,32.8614874,"https://www.google.com/maps/search/?api=1&query=39.9072776,32.8614874",node/4617717379
Belkıs'ın Mutfağı,restaurant,turkish,,,,,,,,39.8967036,32.8580895,"https://www.google.com/maps/search/?api=1&query=39.8967036,32.8580895",node/12801782090
Berlin Cafe & Bar,bar,,+90 312 425 27 56,,https://www.instagram.com/berlincafepub/,Mo-Su 11:00-01:00,,wlan,Selanik Caddesi 67/A,39.9162322,32.8584009,"https://www.google.com/maps/search/?api=1&query=39.9162322,32.8584009",node/9318426316
Beyaz Et,fast_food,,,,,,yes,,,39.8847545,32.8530158,"https://www.google.com/maps/search/?api=1&query=39.8847545,32.8530158",node/247617779
Beykoz,restaurant,,,,,,yes,,,39.8847520,32.8534031,"https://www.google.com/maps/search/?api=1&query=39.8847520,32.8534031",node/60581036
Beyran Antep Mutfağı,restaurant,,,,,,,,,39.8686314,32.8575432,"https://www.google.com/maps/search/?api=1&query=39.8686314,32.8575432",node/4627366939
Beyzade,restaurant,,,,,,,,Esat Caddesi 28f,39.9131288,32.8590801,"https://www.google.com/maps/search/?api=1&query=39.9131288,32.8590801",node/4626502287
Beşeri Kantini,fast_food,,,,,,,,,39.8961655,32.7817508,"https://www.google.com/maps/search/?api=1&query=39.8961655,32.7817508",node/3836440363
Bi Kahve Atölyesi,cafe,coffee_shop;turkish,,,,,,,,39.8972066,32.8485205,"https://www.google.com/maps/search/?api=1&query=39.8972066,32.8485205",node/13526358601
Bi' Kahve Atölyesi,cafe,turkish,,,,,,,Hoşdere Caddesi,39.8968128,32.8482081,"https://www.google.com/maps/search/?api=1&query=39.8968128,32.8482081",node/13566100101
bi' çorba,restaurant,,,,,,,,,39.8677719,32.8575002,"https://www.google.com/maps/search/?api=1&query=39.8677719,32.8575002",node/312788040
bi'sütlü bi'tatlı,cafe,,,https://bisutlubitatli.com.tr,bisutlubitatli,,,,,39.9225215,32.8172518,"https://www.google.com/maps/search/?api=1&query=39.9225215,32.8172518",node/13990200801
Big Baker,restaurant,pizza;burger;salad,,,,,,,,39.9198405,32.8572744,"https://www.google.com/maps/search/?api=1&query=39.9198405,32.8572744",node/10259003647
Bilge Şahin Pasta Dükkanı,cafe,coffee_shop,,bilgesahinpastadukkani.com,,,,wlan,Tunus Caddesi,39.9075457,32.8589799,"https://www.google.com/maps/search/?api=1&query=39.9075457,32.8589799",node/2209984006
Bilgisayar Mühendisliği Kantini,fast_food,coffee_shop;sandwich,,,,,,,,39.8918017,32.7835588,"https://www.google.com/maps/search/?api=1&query=39.8918017,32.7835588",node/4622453639
Birlik,fast_food,,,,,,,,,39.9051202,32.8604523,"https://www.google.com/maps/search/?api=1&query=39.9051202,32.8604523",node/247208748
Biso Cafe,cafe,coffee_shop,,,hellobisocoffee,Mo-Su 08:00-22:00,,,336. Sokak 10/A,39.8864156,32.8879568,"https://www.google.com/maps/search/?api=1&query=39.8864156,32.8879568",node/13899078401
Biyoloji Kantini,fast_food,,,,,,,,,39.8958101,32.7800138,"https://www.google.com/maps/search/?api=1&query=39.8958101,32.7800138",node/4622917823
Bizim Değirmen,restaurant,turkish;bakery,,,,,,,,39.8828133,32.8393032,"https://www.google.com/maps/search/?api=1&query=39.8828133,32.8393032",node/12799746332
Bizim Kantin,fast_food,,,,,,,,,39.8945711,32.7823488,"https://www.google.com/maps/search/?api=1&query=39.8945711,32.7823488",node/501820006
Bizim Köfteci,restaurant,turkish,,,,,,,,39.9317289,32.8760189,"https://www.google.com/maps/search/?api=1&query=39.9317289,32.8760189",node/1361600709
Bizim Lokanta Tavukçusu,restaurant,,,,,,,,,39.9191362,32.8627552,"https://www.google.com/maps/search/?api=1&query=39.9191362,32.8627552",node/9318510624
Bla Bla,bar,,,,,,,,,39.9191300,32.8280297,"https://www.google.com/maps/search/?api=1&query=39.9191300,32.8280297",node/4371605690
Black Fish Cafe,cafe,coffee_shop,+90 544 921 24 56,,blackfishcafe,Mo-Su 11:00-23:00,,wlan,,39.9167449,32.8587422,"https://www.google.com/maps/search/?api=1&query=39.9167449,32.8587422",node/9318510617
Black Pub,pub,,,,,,,,,39.9077107,32.8612125,"https://www.google.com/maps/search/?api=1&query=39.9077107,32.8612125",node/4617717373
Blues,pub,,,,,,,,,39.9224837,32.8569893,"https://www.google.com/maps/search/?api=1&query=39.9224837,32.8569893",node/4621720971
Bob,cafe,,,,,,yes,,,39.8783122,32.8811234,"https://www.google.com/maps/search/?api=1&query=39.8783122,32.8811234",node/12751868609
Bolulu Hasan Usta,cafe,,,,,,,,Tunalı Hilmi Cad.,39.9066378,32.8609512,"https://www.google.com/maps/search/?api=1&query=39.9066378,32.8609512",node/247208555
Bosco,cafe,,,,,,,,1. sokak 7,39.9140996,32.8079705,"https://www.google.com/maps/search/?api=1&query=39.9140996,32.8079705",node/9906059055
Bosco Caffe,cafe,,,,,,,,,39.9285606,32.8194794,"https://www.google.com/maps/search/?api=1&query=39.9285606,32.8194794",node/9965496667
Boğaziçi Pastanesi,cafe,,,,,,,,,39.9182644,32.8584615,"https://www.google.com/maps/search/?api=1&query=39.9182644,32.8584615",node/9320777751
Bubu,cafe,,,,,,,,Kazakistan Caddesi,39.9241142,32.8228015,"https://www.google.com/maps/search/?api=1&query=39.9241142,32.8228015",node/13803041503
Burger King,fast_food,burger,,,,,,,,39.9324318,32.8292508,"https://www.google.com/maps/search/?api=1&query=39.9324318,32.8292508",node/309903658
Burger Wave,fast_food,,,,,,,,Büklüm Caddesi,39.9092978,32.8598691,"https://www.google.com/maps/search/?api=1&query=39.9092978,32.8598691",node/13764589101
Bursa Hacıbey Kebapçısı,restaurant,turkish,,,,,,,,39.9118413,32.8210570,"https://www.google.com/maps/search/?api=1&query=39.9118413,32.8210570",node/2286418250
Bursa İnegöl Köftecisi,restaurant,,,,,,,,,39.8889222,32.8548522,"https://www.google.com/maps/search/?api=1&query=39.8889222,32.8548522",node/247208856
Börek's Cafe,restaurant,,,,,Mo-Su 05:00-22:00,,,Cemal Gürsel Caddesi 34,39.9282096,32.8690568,"https://www.google.com/maps/search/?api=1&query=39.9282096,32.8690568",node/13171697852
C'ViZ,cafe,,,,,,,,,39.8915594,32.8711121,"https://www.google.com/maps/search/?api=1&query=39.8915594,32.8711121",node/62674094
Cafe Bianca,cafe,,,,,Mo-Su 08:00-23:30,,,Onur Sokak 63/B,39.9313402,32.8422250,"https://www.google.com/maps/search/?api=1&query=39.9313402,32.8422250",node/11896469969
Cafe Bien,bar,,,,,,,,,39.9070508,32.8596300,"https://www.google.com/maps/search/?api=1&query=39.9070508,32.8596300",node/4621621597
Cafe Botanica,cafe,,,,,Mo-Su 09:00-24:00,,,,39.9046431,32.8622922,"https://www.google.com/maps/search/?api=1&query=39.9046431,32.8622922",node/1706179745
Cafe Bıyık,cafe,,,,,,,,,39.8962178,32.8796768,"https://www.google.com/maps/search/?api=1&query=39.8962178,32.8796768",node/4624060643
Cafe des Cafes,cafe,,,,,,yes,,,39.9066216,32.8612044,"https://www.google.com/maps/search/?api=1&query=39.9066216,32.8612044",node/93807636
Cafe Down Engelsiz Cafe,cafe,,,,,,,,,39.9229865,32.8539956,"https://www.google.com/maps/search/?api=1&query=39.9229865,32.8539956",node/13760763501
Cafe Home Cooking,restaurant,turkish,,,,,,,,39.8954605,32.8783652,"https://www.google.com/maps/search/?api=1&query=39.8954605,32.8783652",node/4624060640
Cafe Kıraç,restaurant,,,,,,,,Olgunlar Cad.,39.9149256,32.8583441,"https://www.google.com/maps/search/?api=1&query=39.9149256,32.8583441",node/5607501223
Cafe P22,cafe,,,,,,,,Halit Ziya Sokak,39.8852269,32.8492055,"https://www.google.com/maps/search/?api=1&query=39.8852269,32.8492055",node/12709710801
Cafe Puzzle barbekü,fast_food,persian,,cafepuzzle.com,,Mo-Su 11:00-22:00,,,Kahraman Kadın Sokağı 17,39.8936823,32.8785255,"https://www.google.com/maps/search/?api=1&query=39.8936823,32.8785255",node/11262022274
Cafe Rosso,cafe,,,,,,,,,39.9081500,32.8614807,"https://www.google.com/maps/search/?api=1&query=39.9081500,32.8614807",node/4617717369
Cafe Sobe,restaurant,,,,,,,,,39.9182459,32.8561599,"https://www.google.com/maps/search/?api=1&query=39.9182459,32.8561599",node/2991234633
Cafemiz,cafe,international,,,,,,,Arjantin Caddesi 19,39.8979214,32.8657829,"https://www.google.com/maps/search/?api=1&query=39.8979214,32.8657829",node/310402861
CafeModern,cafe,,,,,Tu-Su 10:00-20:00,yes,,Altınsoy Caddesi 3,39.9317639,32.8493139,"https://www.google.com/maps/search/?api=1&query=39.9317639,32.8493139",node/4333122652
Caffe Nux,cafe,,,,,,,,,39.8974190,32.8554459,"https://www.google.com/maps/search/?api=1&query=39.8974190,32.8554459",node/12923117600
Caffè di Toeè,cafe,,,,,,,,59. Sokak,39.9232368,32.8247790,"https://www.google.com/maps/search/?api=1&query=39.9232368,32.8247790",node/13776056603
Caffé di Toeé,cafe,,,,,,,,,39.9094723,32.8039075,"https://www.google.com/maps/search/?api=1&query=39.9094723,32.8039075",node/14007049001
Cajun Corner,restaurant,,,,,,,,,39.9201979,32.8565552,"https://www.google.com/maps/search/?api=1&query=39.9201979,32.8565552",node/10259447199
Cajunist,fast_food,chicken,,,,,,,Oğuzhan Asiltürk Caddesi,39.9250178,32.8274100,"https://www.google.com/maps/search/?api=1&query=39.9250178,32.8274100",node/14011138801
Cambo İskender & Kebap,restaurant,,,,,,,,,39.8751919,32.8605146,"https://www.google.com/maps/search/?api=1&query=39.8751919,32.8605146",node/312788027
Can Balık,restaurant,,,,,,,,,39.9221937,32.8559652,"https://www.google.com/maps/search/?api=1&query=39.9221937,32.8559652",node/4621720969
Can Döner,fast_food,,,,,,,,,39.9292794,32.8541389,"https://www.google.com/maps/search/?api=1&query=39.9292794,32.8541389",node/14008189901
Caribou Coffee,cafe,coffee_shop,,,,,,,,39.9182914,32.8555088,"https://www.google.com/maps/search/?api=1&query=39.9182914,32.8555088",node/11008039209
Carmelo Coffee,cafe,,,,,,,,,39.9180267,32.8555687,"https://www.google.com/maps/search/?api=1&query=39.9180267,32.8555687",node/11107454239
Casa Italia,cafe,italian,,,,,,,,39.8945810,32.8499577,"https://www.google.com/maps/search/?api=1&query=39.8945810,32.8499577",node/13633449101
Castello,fast_food,,,,,,,,,39.9315986,32.8284073,"https://www.google.com/maps/search/?api=1&query=39.9315986,32.8284073",node/10967868412
Castle Black,pub,,,,,,,,73. Sokak,39.9196747,32.8280157,"https://www.google.com/maps/search/?api=1&query=39.9196747,32.8280157",node/13882635701
Catalyst Coffee and Hub,cafe,coffee_shop;sandwich;dessert,,https://www.instagram.com/catalystcoffeehub/,,08:00-23:00,yes,wlan,Ahmet Mithat Efendi Sokak 3,39.8840825,32.8550623,"https://www.google.com/maps/search/?api=1&query=39.8840825,32.8550623",node/12369448213
Cennetkuşu Çukurambar,restaurant,,+90 312 284 29 59,cennetkusu.com,,,,,1443 Cadde 53,39.8986413,32.8116629,"https://www.google.com/maps/search/?api=1&query=39.8986413,32.8116629",node/9443897632
Central,restaurant,,,,,,,,,39.8932219,32.7958181,"https://www.google.com/maps/search/?api=1&query=39.8932219,32.7958181",node/11033909657
Cey Cey,cafe,,,,,,,,70. Sokak,39.9223362,32.8269871,"https://www.google.com/maps/search/?api=1&query=39.9223362,32.8269871",node/13953976601
Chicken Run,fast_food,,,,,,,,,39.8924690,32.7883515,"https://www.google.com/maps/search/?api=1&query=39.8924690,32.7883515",node/4627537416
Cici Piknik,restaurant,,,,,,,,,39.9198647,32.8510017,"https://www.google.com/maps/search/?api=1&query=39.9198647,32.8510017",node/12508910267
City Wok,restaurant,chinese,,,,Mo-Su 00:00-21:00,,,,39.8927409,32.8513292,"https://www.google.com/maps/search/?api=1&query=39.8927409,32.8513292",node/13535069801
Ciğerci Apo,restaurant,kebab,,,,,,,Ziyabey Cad. 57/A,39.9091409,32.8178123,"https://www.google.com/maps/search/?api=1&query=39.9091409,32.8178123",way/225212946
Ciğerci Aydın,restaurant,,,,,,,,,39.9325757,32.8427090,"https://www.google.com/maps/search/?api=1&query=39.9325757,32.8427090",node/9695697217
Ciğerci Bahattin,restaurant,kebab;turkish,+90 312 222 00 50,,,24/7,,,Bişkek Caddesi 68B,39.9176430,32.8171292,"https://www.google.com/maps/search/?api=1&query=39.9176430,32.8171292",node/6797454785
Classics,pub,,,,,Mo-Su 10:00-01:00,,,Aşkabat Caddesi,39.9219077,32.8257447,"https://www.google.com/maps/search/?api=1&query=39.9219077,32.8257447",node/5300714822
Cofengo Cafe,cafe,,,,,Mo-Su 10:00-23:30,,,,39.8980358,32.8487295,"https://www.google.com/maps/search/?api=1&query=39.8980358,32.8487295",node/13633490201
Coffee 101,cafe,coffee_shop,,,,,no,wlan,,39.8926327,32.7884385,"https://www.google.com/maps/search/?api=1&query=39.8926327,32.7884385",node/4622731268
Coffee 1919,cafe,coffee_shop,,,,,yes,,,39.9122878,32.7801628,"https://www.google.com/maps/search/?api=1&query=39.9122878,32.7801628",way/1291789306
Coffee Break,cafe,coffee_shop,,,,,,,,39.8918125,32.7888813,"https://www.google.com/maps/search/?api=1&query=39.8918125,32.7888813",node/4623060235
Coffee Bus,cafe,,,,,,,,Nene Hatun Cad. 59,39.8992499,32.8680499,"https://www.google.com/maps/search/?api=1&query=39.8992499,32.8680499",node/12179983348
