il,ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,ilce,mahalle,lat,lon,harita,osm_id
Ankara,Altınköy Açık Hava Müzesi,museum,,+90 312 375 15 88,,,Tu-Su 10:00-20:00,,,2022 1,Altındağ,Beşikkaya Mah.,39.9774874,32.9563343,"https://www.google.com/maps/search/?api=1&query=39.9774874,32.9563343",node/10303201723
Ankara,Altınköy Açık Hava Müzesi,museum,,+90 312 375 15 88,http://www.altinkoy.tc/,,Tue-Su 10:00-19:00,,,,,,39.9773548,32.9561514,"https://www.google.com/maps/search/?api=1&query=39.9773548,32.9561514",way/413152314
Ankara,Altınpark Expo Center,events_venue,,,,,,,,,,,39.9678616,32.8761101,"https://www.google.com/maps/search/?api=1&query=39.9678616,32.8761101",way/420891100
Ankara,Amfiteatr,theatre,,,,,,,,,,,39.8334550,32.7442575,"https://www.google.com/maps/search/?api=1&query=39.8334550,32.7442575",way/451374783
Ankara,Amfitiyatro,theatre,,,,,,,,,,,39.8742412,32.7286508,"https://www.google.com/maps/search/?api=1&query=39.8742412,32.7286508",way/163315029
Ankara,Anadolu Gösteri Merkezi,theatre,,,,,,,,,,,39.9119519,32.8259006,"https://www.google.com/maps/search/?api=1&query=39.9119519,32.8259006",node/122625535
Ankara,Anadolu Medeniyetleri Müzesi,museum,,0312 324 31 60/61,,,Mo-Su,,,Gözcü Sokak 2,Altındağ,Kale Mahallesi,39.9379522,32.8617633,"https://www.google.com/maps/search/?api=1&query=39.9379522,32.8617633",way/363095473
Ankara,Anemon Düğün Salonları,events_venue,,,,,,,,,,,39.9505110,32.6332065,"https://www.google.com/maps/search/?api=1&query=39.9505110,32.6332065",node/13683020421
Ankara,Angel Wedding,events_venue,,,,,,,,,,,39.9360202,32.6368828,"https://www.google.com/maps/search/?api=1&query=39.9360202,32.6368828",node/13782790675
Ankara,Anka Wedding,events_venue,,,https://ankarademirsporsosyaltesisleri.com/,,,,,,,,39.9412782,32.7727425,"https://www.google.com/maps/search/?api=1&query=39.9412782,32.7727425",node/13120751459
Ankara,Ankapark,theme_park,,,,,,,,,,,39.9431469,32.7839099,"https://www.google.com/maps/search/?api=1&query=39.9431469,32.7839099",way/419283319
Ankara,Ankara Büyükşehir Belediyesi Başkent Sosyal Tesisi,events_venue,,+90 312 507 37 00,https://dugunsalonu.ankara.bel.tr/,,,,,Göksu Parkı İç Yolu 17,Etimesgut,Göksu,39.9917655,32.6477515,"https://www.google.com/maps/search/?api=1&query=39.9917655,32.6477515",way/423602715
Ankara,Ankara Devlet Opera ve Balesi,theatre,,,devtiyatro.gov.tr,,,,,,,,39.9353904,32.8531071,"https://www.google.com/maps/search/?api=1&query=39.9353904,32.8531071",way/404878536
Ankara,Ankara Keçisi Adası,zoo,,,,,,,,,,,39.9507404,32.8009163,"https://www.google.com/maps/search/?api=1&query=39.9507404,32.8009163",way/1497309555
Ankara,Ankara Palas,museum,,+090(0312) 311 10 20,,,,,,Cumhuriyet Caddesi No:3,Altındağ,Doğanbey Mahallesi,39.9405547,32.8523618,"https://www.google.com/maps/search/?api=1&query=39.9405547,32.8523618",way/783229342
Ankara,Ankara Resim ve Heykel Müzesi,museum,,+90 310 209 4- 95,http://www.kultur.gov.tr/genel/SanalMuzeler/ResimHeykelMuzesi/,,Tu-Su 09:00-17:00,,,Türkocağı Sokak 1,Ulus,,39.9333126,32.8557490,"https://www.google.com/maps/search/?api=1&query=39.9333126,32.8557490",way/318274938
Ankara,Ankara Sanat Tiyatrosu,theatre,,,,,,,,,,,39.9239662,32.8536199,"https://www.google.com/maps/search/?api=1&query=39.9239662,32.8536199",node/1199433530
Ankara,Ankara Vakıf Eserleri Müzesi,museum,,+90 312 311 49 25,,,Tu- Su 09:00-17:00,,,Atatürk Bulvarı 23,Altındağ,Anafartalar Mah.,39.9356365,32.8549852,"https://www.google.com/maps/search/?api=1&query=39.9356365,32.8549852",way/431477240
Ankara,Anktalya Aqua Park,water_park,,,,,,,,,,,39.9902330,32.7247608,"https://www.google.com/maps/search/?api=1&query=39.9902330,32.7247608",way/775539006
Ankara,Aqua Vega Akvaryum,aquarium,,,,,"Mo-Fr 10:00-20:00, Sa-Su 11:00-21:00",,,2308. Sokak,Mamak,Akşemsettin Mah.,39.8876851,32.9349322,"https://www.google.com/maps/search/?api=1&query=39.8876851,32.9349322",node/11209121537
Ankara,Aquapark,water_park,,,,,,,,,,,40.1143616,33.0202591,"https://www.google.com/maps/search/?api=1&query=40.1143616,33.0202591",way/506325679
Ankara,Arcadium Sinemaları,cinema,,,,,,,,,,,39.8829337,32.6861235,"https://www.google.com/maps/search/?api=1&query=39.8829337,32.6861235",node/13809407007
Ankara,ARCKİDS Eğlence Parkı,theme_park,,+90 312 241 42 20,https://www.instagram.com/arckidseglencemerkezi/,,Mo-Su 10:00-22:00,,wlan,Doğan Taşdelen Bulvarı 192,Çankaya,Koru Mah.,39.8827134,32.6856062,"https://www.google.com/maps/search/?api=1&query=39.8827134,32.6856062",node/10563513167
Ankara,Armoni,events_venue,,,,,,,,,,,39.9361736,32.6368952,"https://www.google.com/maps/search/?api=1&query=39.9361736,32.6368952",node/13782790659
Ankara,Aslan Bey Düğün Salonu,events_venue,,,,,,,,,,,39.9646551,32.6081520,"https://www.google.com/maps/search/?api=1&query=39.9646551,32.6081520",node/13173771081
Ankara,Aslı Bale Kursu,dance,,,,,,,,,,,39.8781035,32.8810154,"https://www.google.com/maps/search/?api=1&query=39.8781035,32.8810154",node/6433194541
Ankara,At Adası,zoo,,,,,,,,,,,39.9513840,32.8006683,"https://www.google.com/maps/search/?api=1&query=39.9513840,32.8006683",way/1497305611
Ankara,Atatürk Evi,museum,,,https://www.aoc.gov.tr/index.php?view=cnt&cinf=24%7C12%7C12,,,,,,,,39.9360757,32.7981273,"https://www.google.com/maps/search/?api=1&query=39.9360757,32.7981273",way/911297645
Ankara,Atatürk Kültür Merkezi,museum,,,,,,,,,,,39.9435364,32.8404485,"https://www.google.com/maps/search/?api=1&query=39.9435364,32.8404485",way/1131599249
Ankara,Atatürk Müzesi ve Okuma Evi,museum,,+90 312 280 39 35,https://www.etimesgut.bel.tr/merkez/hizmet-merkezlerimiz/ataturk-muzesi-ve-okuma-evi,,Mo-Fr 09:00-18:00; Sa 09:00-17:00,,,2637. Sokak,Etimesgut,Şehit Osman Avcı,39.9758785,32.6524212,"https://www.google.com/maps/search/?api=1&query=39.9758785,32.6524212",way/1488919697
Ankara,Atatürk Müzesi ve Okuma Evi,museum,,+90 312 280 39 35,https://www.etimesgut.bel.tr/merkez/hizmet-merkezlerimiz/ataturk-muzesi-ve-okuma-evi,,Mo-Fr 09:00-18:00; Sa 09:00-17:00,,,2637. Sokak,Etimesgut,Şehit Osman Avcı,39.9758785,32.6524212,"https://www.google.com/maps/search/?api=1&query=39.9758785,32.6524212",way/1507534109
Ankara,Atatürk Sanat Merkezi,arts_centre,,,,,,,,2158. Sokak No: 13,Çankaya,Mustafa Kemal Mahallesi,39.9086642,32.7669525,"https://www.google.com/maps/search/?api=1&query=39.9086642,32.7669525",way/1501334772
Ankara,Atatürk ve Kurtuluş Savaşı Müzesi,museum,,+90 312 231 79 75,https://www.anitkabir.tsk.tr/03_muzeler/muzeler.html,,Mo-Su 09:00-16:00,,,,,,39.9249828,32.8376958,"https://www.google.com/maps/search/?api=1&query=39.9249828,32.8376958",way/28241510
Ankara,Atatürk ve Millî Mücadele Müzesi,museum,,,,,,,,,,,39.9661780,32.8644467,"https://www.google.com/maps/search/?api=1&query=39.9661780,32.8644467",way/1124689363
Ankara,Atlas Sanat Galerisi,gallery,,+90 312 468 59 04,http://www.atlassanat.com/,,,,,Cinnah Caddesi 19,,,39.8969494,32.8581697,"https://www.google.com/maps/search/?api=1&query=39.8969494,32.8581697",node/6433295765
Ankara,Atılım Garden,events_venue,,,,,,,,,,,39.8165172,32.7227286,"https://www.google.com/maps/search/?api=1&query=39.8165172,32.7227286",way/392713676
Ankara,Atılım Üniversitesi Amfi Tiyatro,theatre,,,,,,,,,,,39.8148784,32.7257623,"https://www.google.com/maps/search/?api=1&query=39.8148784,32.7257623",way/422639639
Ankara,Bahçeli Park Düğün Salonu,events_venue,,,,,,,,,,,39.7866510,32.8167638,"https://www.google.com/maps/search/?api=1&query=39.7866510,32.8167638",way/1030752029
Ankara,Baskent Nightclub,nightclub,,,,,,,,,,,39.9131699,32.8596351,"https://www.google.com/maps/search/?api=1&query=39.9131699,32.8596351",node/10036176283
Ankara,Belpa Buz Pateni Sarayı,ice_rink,,,,,,,,,,,39.9174624,32.8301401,"https://www.google.com/maps/search/?api=1&query=39.9174624,32.8301401",way/417663256
Ankara,Beyaz Ala Geyik Adası,zoo,,,,,,,,,,,39.9497639,32.8012458,"https://www.google.com/maps/search/?api=1&query=39.9497639,32.8012458",way/1497308351
Ankara,Beypazarı Kent Tarihi Müzesi,museum,,,,,,,,,,,40.1703186,31.9204377,"https://www.google.com/maps/search/?api=1&query=40.1703186,31.9204377",way/1212978041
Ankara,Beypazarı Tarih ve Kültür Evi,museum,,,,,,,,,,,40.1698815,31.9161970,"https://www.google.com/maps/search/?api=1&query=40.1698815,31.9161970",way/1212976642
Ankara,Beştepe Millet Kongre ve Kültür Merkezi,theatre,,,,,,,,,,,39.9287331,32.8017632,"https://www.google.com/maps/search/?api=1&query=39.9287331,32.8017632",way/472935191
Ankara,Bilardo Salonu,amusement_arcade,,,,,,,,,,,39.9299505,32.8730637,"https://www.google.com/maps/search/?api=1&query=39.9299505,32.8730637",node/3991976554
Ankara,Bilkent Prestige,cinema,,,,,,,,,,,39.8836372,32.7578436,"https://www.google.com/maps/search/?api=1&query=39.8836372,32.7578436",node/310048122
Ankara,Bilkent Senfoni Orkestrası (BSO) Konser Salonu,theatre,,,https://www.bso.bilkent.edu.tr/,,,,,,,,39.8689242,32.7549683,"https://www.google.com/maps/search/?api=1&query=39.8689242,32.7549683",node/308748206
Ankara,Biyosfer Müze,museum,,,https://www.biyosfermuze.com/,,,,,,,,39.8939213,32.7325064,"https://www.google.com/maps/search/?api=1&query=39.8939213,32.7325064",way/899895811
Ankara,Blackball,amusement_arcade,,,,,,,,,,,39.8925677,32.7882160,"https://www.google.com/maps/search/?api=1&query=39.8925677,32.7882160",node/4627537417
Ankara,Botanik Amfi,theatre,,,,,,,,,,,39.8883669,32.8564778,"https://www.google.com/maps/search/?api=1&query=39.8883669,32.8564778",way/681425148
Ankara,Bowling Academy Ankara,bowling_alley,,,,,Tu-Su 00:00-23:00,,,,,,39.7827259,32.8119354,"https://www.google.com/maps/search/?api=1&query=39.7827259,32.8119354",node/13745786902
Ankara,Büyülü Fener Bahçelievler,cinema,,,,,,,,18. Sk. 22,,7. Cadde,39.9194818,32.8250371,"https://www.google.com/maps/search/?api=1&query=39.9194818,32.8250371",way/224873872
Ankara,Büyülüfener Sineması,cinema,,,,,Mo-Su 10:00-24:00,,,,,,39.9177380,32.8584647,"https://www.google.com/maps/search/?api=1&query=39.9177380,32.8584647",node/1199439279
Ankara,Cadde Sanat,arts_centre,,,,,,,,,,,39.8971513,32.8488214,"https://www.google.com/maps/search/?api=1&query=39.8971513,32.8488214",node/13526382401
Ankara,CerModern,museum,,+90 312 3100000,https://www.cermodern.org/,,Tu-Su 10:00-20:00,,,Altınsoy Caddesi 3,,,39.9321052,32.8497340,"https://www.google.com/maps/search/?api=1&query=39.9321052,32.8497340",way/435399786
Ankara,Cevahir Nikah Balo Toplantı,events_venue,,,,,,,,,,,39.9667013,32.7725663,"https://www.google.com/maps/search/?api=1&query=39.9667013,32.7725663",node/13724520199
Ankara,Cin Ali Müzesi,museum,,,,,,,,,,,39.9056802,32.8626439,"https://www.google.com/maps/search/?api=1&query=39.9056802,32.8626439",way/225920084
Ankara,Cinemarine Taurus,cinema,,,,,,,,,,,39.8885027,32.8107625,"https://www.google.com/maps/search/?api=1&query=39.8885027,32.8107625",node/4652806138
Ankara,Club Mirador,events_venue,,,,,,,,,,,39.8117160,32.7825627,"https://www.google.com/maps/search/?api=1&query=39.8117160,32.7825627",way/1467531490
Ankara,CSO Ada Ankara,arts_centre,,,,,,,,,,,39.9329804,32.8506170,"https://www.google.com/maps/search/?api=1&query=39.9329804,32.8506170",way/879793992
Ankara,CSO Ada Ankara Tarihi Salon,theatre,,,,,,,,,,,39.9345481,32.8497682,"https://www.google.com/maps/search/?api=1&query=39.9345481,32.8497682",way/472903884
Ankara,Cumhurbaşkanlığı Senfoni Orkestrası,theatre,,,,,,,,,,,39.9333502,32.8504837,"https://www.google.com/maps/search/?api=1&query=39.9333502,32.8504837",way/880861580
Ankara,Cumhuriyet Müzesi,museum,,+90 312 310 53 61,http://cumhuriyetmuzesi.gov.tr/index.php,,Tu-Fr Summer 08:30-19:00; Tu-Fr Winter 08:30-17:00,,,22,Ulus,Cumhuriyet Bulvarı,39.9413794,32.8516313,"https://www.google.com/maps/search/?api=1&query=39.9413794,32.8516313",way/419393082
Ankara,Cüce Keçi Adası,zoo,,,,,,,,,,,39.9507663,32.8015707,"https://www.google.com/maps/search/?api=1&query=39.9507663,32.8015707",way/1497309465
Ankara,Dark Playstation,amusement_arcade,,,,,,,,,,,39.9689440,32.7857279,"https://www.google.com/maps/search/?api=1&query=39.9689440,32.7857279",node/12651728645
Ankara,DART DANS VE SANAT OKULU,dance,,,,,,,,,,,39.8703965,32.6823271,"https://www.google.com/maps/search/?api=1&query=39.8703965,32.6823271",node/9013595101
Ankara,Demetevler Lunaparkı,theme_park,,,,,Mo-Su 09:00-21:00,,,Güzelyaka Caddesi 2,Yenimahalle,Barış,39.9679682,32.7978802,"https://www.google.com/maps/search/?api=1&query=39.9679682,32.7978802",way/243148640
Ankara,Deniz Dünyası Akvaryum,aquarium,,,,,,,,,Keçiören,,39.9758381,32.8733986,"https://www.google.com/maps/search/?api=1&query=39.9758381,32.8733986",way/405669828
Ankara,Deve Adası,zoo,,,,,,,,,,,39.9505960,32.7999952,"https://www.google.com/maps/search/?api=1&query=39.9505960,32.7999952",way/1497308053
Ankara,Deve Kuşu Adası,zoo,,,,,,,,,,,39.9499285,32.7953250,"https://www.google.com/maps/search/?api=1&query=39.9499285,32.7953250",way/1496900531
Ankara,Devlet Mezarlığı Müzesi,museum,,,,,,,,,,,39.9355175,32.8085040,"https://www.google.com/maps/search/?api=1&query=39.9355175,32.8085040",way/468545977
Ankara,Devlet Tiyatroları Atölye Sahnesi,theatre,,,,,,,,,,,39.9516066,32.7665074,"https://www.google.com/maps/search/?api=1&query=39.9516066,32.7665074",node/667489374
Ankara,Devlet Tiyatroları Pursaklar Sahnesi,theatre,,,,,,,,,,,40.0698195,32.9214652,"https://www.google.com/maps/search/?api=1&query=40.0698195,32.9214652",way/457992834
Ankara,Dijital Hayvanat Bahçesi,zoo,,,,,,,,Atatürk Çocukları Parkı İçi Yolu,Yenimahalle,Gazi Mahallesi,39.9477142,32.7986926,"https://www.google.com/maps/search/?api=1&query=39.9477142,32.7986926",node/11948843476
Ankara,Dijital Hayvanat Bahçesi,zoo,,,,,,,,Atatürk Çocukları Parkı İçi Yolu,Yenimahalle,Gazi Mahallesi,39.9477258,32.7990803,"https://www.google.com/maps/search/?api=1&query=39.9477258,32.7990803",way/1288492297
Ankara,Doğan Taşdelen Çağdaş Sanatlar Merkezi,arts_centre,,+90 312 468 21 05,,,,,,Kennedy Caddesi 4,Çankaya,Kavaklıdere,39.9086327,32.8576093,"https://www.google.com/maps/search/?api=1&query=39.9086327,32.8576093",way/28470675
Ankara,Dream Garden Wedding & Events,events_venue,,,,,,no,,,,,39.8414946,32.6713042,"https://www.google.com/maps/search/?api=1&query=39.8414946,32.6713042",node/12144569801
Ankara,Dönme Dolap,theme_park,,,,,,,,,,,39.7936006,32.8206315,"https://www.google.com/maps/search/?api=1&query=39.7936006,32.8206315",way/1030992025
Ankara,Dört Mevsim Tiyarto Salonu,theatre,,,,,,,,,,,39.9619067,32.8094947,"https://www.google.com/maps/search/?api=1&query=39.9619067,32.8094947",way/421613236
Ankara,Ehl-i Saadet,events_venue,,,,,,,,,,,39.9362746,32.6367726,"https://www.google.com/maps/search/?api=1&query=39.9362746,32.6367726",node/13782790673
Ankara,Enerji Parkı,museum,,,,,,,,,,,39.9026374,32.7995399,"https://www.google.com/maps/search/?api=1&query=39.9026374,32.7995399",way/422025903
Ankara,Erimtan Arkeoloji ve Sanat Müzesi,museum,,,https://erimtanmuseum.org/tr,,,,,Gözcü Sokak 10,Altındağ,Kale Mahallesi,39.9377669,32.8630216,"https://www.google.com/maps/search/?api=1&query=39.9377669,32.8630216",way/871035195
Ankara,Escape,nightclub,,,,,,,,,,,39.8710933,32.6811779,"https://www.google.com/maps/search/?api=1&query=39.8710933,32.6811779",node/5281953550
Ankara,Eski Ankara Bağ Evi,museum,,+90 312 355 20 27,https://vekam.ku.edu.tr/ankara-bag-evi/hakkimizda/ankara-bag-evinin-tarihcesi/,,,,,Şht. Hakan Turan Caddesi 18,,,39.9996854,32.8595071,"https://www.google.com/maps/search/?api=1&query=39.9996854,32.8595071",way/409525922
Ankara,Etnografya Müzesi,museum,,+90 312 311 30 07,https://muze.gov.tr/muze-detay?SectionId=AET01&DistId=MRK,,Tu-Su 09:00-17:00,,,Türkocağı Sokak 4,Ulus,Hacettepe,39.9326719,32.8552989,"https://www.google.com/maps/search/?api=1&query=39.9326719,32.8552989",way/217483084
Ankara,Evcil Hayvanlar Parkı,zoo,,,,,,,,,,,39.9735965,32.5868731,"https://www.google.com/maps/search/?api=1&query=39.9735965,32.5868731",way/226317637
Ankara,Evrem Sanat Atölyesi,arts_centre,,+90 531 281 3626,,evremsanatatolye,,,,320. Sokak 6,,,39.7836925,32.8069446,"https://www.google.com/maps/search/?api=1&query=39.7836925,32.8069446",node/13745903202
Ankara,Ewet'de Düğün Salonu,events_venue,,,,,,,,,Yenimahalle,Ostim OSB,39.9722209,32.7457999,"https://www.google.com/maps/search/?api=1&query=39.9722209,32.7457999",node/12740094996
Ankara,Family Lunapark,theme_park,,,,,,,,,,,39.9588967,32.9705346,"https://www.google.com/maps/search/?api=1&query=39.9588967,32.9705346",way/380035355
Ankara,Feza Gürsey Bilim Merkezi,museum,,+90 312 317 99 19;+90 312 596 90 00,https://fgbm.com.tr/,,"Mo-Su, PH 08:00-18:00",,,Şehit Astsubay Ömer Halisdemir Bulvarı 154,Altındağ,Altınpark,39.9683754,32.8798792,"https://www.google.com/maps/search/?api=1&query=39.9683754,32.8798792",node/1503934520
Ankara,Fikret Otyam Sanat Merkezi,arts_centre,,,,,,,,,,,39.8794524,32.6573159,"https://www.google.com/maps/search/?api=1&query=39.8794524,32.6573159",way/1124656690
Ankara,Filamingo Adası,zoo,,,,,,,,,,,39.9496578,32.7998197,"https://www.google.com/maps/search/?api=1&query=39.9496578,32.7998197",way/1497309153
Ankara,Fun Land Nata Vega AVM Şubesi Kapalı Alan Eğlence Merkezi,theme_park,,,,,Mo-Su 10:00-22:00,,,Nato Yolu Caddesi,Mamak,Akşemsettin Mah.,39.8881280,32.9346814,"https://www.google.com/maps/search/?api=1&query=39.8881280,32.9346814",node/10560179817
Ankara,Gazi Üniversitesi Konser Salonu,theatre,,,,,,,,,,,39.9383592,32.8225120,"https://www.google.com/maps/search/?api=1&query=39.9383592,32.8225120",node/92457415
Ankara,Gençlik Parkı Başkent Güneşi Lunaparkı,theme_park,,,,,Mo-Su 10:00-22:00,,,,,,39.9357093,32.8480371,"https://www.google.com/maps/search/?api=1&query=39.9357093,32.8480371",way/245048870
Ankara,Gordion Müzesi,museum,,,,,,,,,,,39.6525598,31.9966349,"https://www.google.com/maps/search/?api=1&query=39.6525598,31.9966349",relation/3223333
Ankara,Grand Park Optimum,events_venue,,,,,,,,,,,39.9648923,32.6460303,"https://www.google.com/maps/search/?api=1&query=39.9648923,32.6460303",node/13556121863
Ankara,Gökkuşağı Düğün Salonu,dance,,,,,,,,1690. Cadde,Mamak,Başak Mahallesi,39.9671769,32.9573587,"https://www.google.com/maps/search/?api=1&query=39.9671769,32.9573587",node/10918197050
Ankara,Gökyay Vakfı Satranç Müzesi,museum,,+90 530 237 99 32,https://www.gokyaysatrancvakfi.org.tr/,,Tu-Su 10:00-18:00,,,Ulucanlar Caddesi 3,Altndağ,Sakarya,39.9346959,32.8633082,"https://www.google.com/maps/search/?api=1&query=39.9346959,32.8633082",node/10303297758
Ankara,Gölbaşı Şehir Parkı,theme_park,,,,,24 saat açık,,,Seğmenler Caddesi,Gölbaşı,Beyşehir Gölü,39.7936059,32.8202714,"https://www.google.com/maps/search/?api=1&query=39.7936059,32.8202714",node/10563607017
Ankara,Hacı Bayram Veli Evi,museum,,,,,,,,,,,39.9452502,32.8580886,"https://www.google.com/maps/search/?api=1&query=39.9452502,32.8580886",way/1351791074
Ankara,Halide Edip Adıvar ve Kadın Kahramanlar Müzesi,museum,,,,,,,,,Polatlı,Sakarya,39.5027983,32.0763046,"https://www.google.com/maps/search/?api=1&query=39.5027983,32.0763046",way/1021499643
Ankara,Harikalar Diyarı,theme_park,,,,,Mo-Su 12:00-24:00,,,Ankara-Ayaş Yolu 9-5,Sincan,Yunus Emre mahallesi,39.9806309,32.5887672,"https://www.google.com/maps/search/?api=1&query=39.9806309,32.5887672",node/10560027831
Ankara,Haritacılık Müzesi,museum,,,,,,,,,,,39.9317820,32.8821019,"https://www.google.com/maps/search/?api=1&query=39.9317820,32.8821019",node/2956218306
Ankara,Havacılık Müzesi,museum,,+90 312 244 85 50,https://ankarahavamuze.hvkk.tsk.tr/News/Article/ankarahavamuze/7117,,,,,2453 Caddesi,Etimesgut,Fatih Sultan Mehmet Bulvarı,39.9489328,32.7029573,"https://www.google.com/maps/search/?api=1&query=39.9489328,32.7029573",way/421506942
Ankara,Havacılık Müzesi,museum,,,https://ankarahavamuze.hvkk.tsk.tr,,,,,,,,39.9480413,32.7041646,"https://www.google.com/maps/search/?api=1&query=39.9480413,32.7041646",way/447889090
Ankara,Hisar Park,events_venue,,+90 312 527 64 44,https://hisarpark.metro.biz/,,,,,Hoca Ahmet Yesevi Caddesi 15,Pursaklar,Merkez Mahallesi,40.0416958,32.8938883,"https://www.google.com/maps/search/?api=1&query=40.0416958,32.8938883",way/612695781
Ankara,IMAX ANKAmall,cinema,,,,,,,,,,,39.9508340,32.8304392,"https://www.google.com/maps/search/?api=1&query=39.9508340,32.8304392",node/3903605139
Ankara,İncek Haus Düğün Salonu,events_venue,,,,,,,,,,,39.8074455,32.6995268,"https://www.google.com/maps/search/?api=1&query=39.8074455,32.6995268",way/1457886488
Ankara,Joyport Kapalı Ala Eğlence Merkezi,theme_park,,+90 312 503 04 05,https://joyport.com.tr,,,,,Ankaralılar Cd.,Çankaya,Koru Mah.,39.9003519,32.6911362,"https://www.google.com/maps/search/?api=1&query=39.9003519,32.6911362",node/10563582203
Ankara,Karamel Sanat Merkezi Sanatoryum,arts_centre,,,,,,,,,,,39.9802488,32.8595274,"https://www.google.com/maps/search/?api=1&query=39.9802488,32.8595274",node/14021746680
Ankara,Kedi Adası,zoo,,,,,,,,,,,39.9491412,32.8011817,"https://www.google.com/maps/search/?api=1&query=39.9491412,32.8011817",way/1497352049
Ankara,Kelime Müzesi,museum,,,,,,,,,,,39.9382976,32.8626734,"https://www.google.com/maps/search/?api=1&query=39.9382976,32.8626734",way/874846758
Ankara,Kentpark Prestige,cinema,,,,,,,,,,,39.9097445,32.7754140,"https://www.google.com/maps/search/?api=1&query=39.9097445,32.7754140",node/4678974486
Ankara,Kite,nightclub,,,https://kiteankara.com/,,,,,Güvenlik Cad. 97,,,39.8987576,32.8537041,"https://www.google.com/maps/search/?api=1&query=39.8987576,32.8537041",node/4773860021
Ankara,Koç Üniversitesi VEKAM,museum,,,,,,,,,,,39.9418663,32.8579662,"https://www.google.com/maps/search/?api=1&query=39.9418663,32.8579662",way/925602360
Ankara,Kurtuluş Savaşı Müzesi,museum,,+90 312 420 19 20;+90 312 420 86 40,"https://www.kultur.gov.tr/TR,96356/ankara---kurtulus-savasi-muzesi-i-tbmm-binasi.html",,Mo-Su,,,Cumhuriyet Caddesi 2/1,Altındağ,Doğantepe Mah.,39.9419036,32.8536796,"https://www.google.com/maps/search/?api=1&query=39.9419036,32.8536796",way/419393108
Ankara,Kuğu Adası,zoo,,,,,,,,,,,39.9499141,32.7997350,"https://www.google.com/maps/search/?api=1&query=39.9499141,32.7997350",way/1497310394
Ankara,Kuş Adası,zoo,,,,,,,,,,,39.9509743,32.8053210,"https://www.google.com/maps/search/?api=1&query=39.9509743,32.8053210",way/1497307792
Ankara,Kült Kavaklıdere,cinema,,+90 312 830 93 73,https://www.kultkavaklidere.org/,https://www.instagram.com/kultkavaklidere/,,,,Tunalı Hilmi Caddesi 105,Çankaya,Barbaros,39.9047664,32.8608620,"https://www.google.com/maps/search/?api=1&query=39.9047664,32.8608620",node/75313934
Ankara,Kırrda Wedding,events_venue,,,,,,,,,,,39.9752138,32.7663690,"https://www.google.com/maps/search/?api=1&query=39.9752138,32.7663690",node/13543472530
Ankara,Kız Kıza Meyhane,nightclub,,,,,,,,Sukarno Cd. 7,Çankaya,Hilal Mahallesi,39.8676324,32.8576718,"https://www.google.com/maps/search/?api=1&query=39.8676324,32.8576718",node/12503895014
Ankara,Kızıl Geyik Adası,zoo,,,,,,,,,,,39.9497258,32.8008166,"https://www.google.com/maps/search/?api=1&query=39.9497258,32.8008166",way/1497309413
Ankara,La Dance Academy,dance,,+90 538 865 35 00,https://ladansakademi.com/,,,,,Tunus Caddesi 46/4,,,39.9079755,32.8583235,"https://www.google.com/maps/search/?api=1&query=39.9079755,32.8583235",node/11203817923
