ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,lat,lon,harita,osm_id,durum,not
Dr. Falafel,restaurant,,+90 312 419 17 57,,,Su-Th 12:00-22:00; Fr-Sa 12:00-23:30,yes,wlan,Selanik Caddesi 66/B,39.9173491,32.8575731,"https://www.google.com/maps/search/?api=1&query=39.9173491,32.8575731",node/11111467704,,
Elif Pide Kebap,restaurant,turkish,+90 312 4362122,,,,,,Bağlar Cd.,39.9004469,32.8741512,"https://www.google.com/maps/search/?api=1&query=39.9004469,32.8741512",node/4331217589,,
Erdemli Tantuni,restaurant,turkish,+90 312 230 19 20,,,Mo-Fr 11:00-00:00,,,Gazi Mustafa Kemal Bulvarı 59,39.9274693,32.8466250,"https://www.google.com/maps/search/?api=1&query=39.9274693,32.8466250",node/12960033943,,
Fanus Komünite Kafe,cafe,,+90 551 993 73 13,https://www.instagram.com/fanuskomunitekafe/,,Mo-Su 10:00-22:30,yes,,84. Cadde 34/A,39.9207812,32.8404557,"https://www.google.com/maps/search/?api=1&query=39.9207812,32.8404557",node/12625876731,,
Farabi Sahnesi,cafe,,+90 312 486 00 58,,farabisahnesi,"Mo, We-Fr 09:00-23:00; Tu 08:30-23:00; Sa 10:00-23:00; Su 10:30-23:00",,,Farabi Sokak 17/A,39.8962202,32.8591748,"https://www.google.com/maps/search/?api=1&query=39.8962202,32.8591748",node/4739270327,,
Faust Coffee,cafe,coffee_shop,+90 555 662 84 77,,,Mo-Su 08:00-00:00,,,13. Sokak 3/A,39.9212487,32.8232362,"https://www.google.com/maps/search/?api=1&query=39.9212487,32.8232362",node/13714969101,,
Fenese Pide,restaurant,,+90 312 480 08 06,,,11:00-21:00,,,,39.8768535,32.8359815,"https://www.google.com/maps/search/?api=1&query=39.8768535,32.8359815",node/11206702660,,
Feriştah Çiğ Köfte,restaurant,,+90 312 482 82 88,,,"Mo-Fr 13:00-00:00, Sa-Su 14:00-00:00",,,,39.8764257,32.8355299,"https://www.google.com/maps/search/?api=1&query=39.8764257,32.8355299",node/11203819568,,
Fevzi Hoca Balık Lokantası,restaurant,seafood;turkish,+90 312 215 45 60,https://www.fevzihoca.com.tr/,,Mo-Su 09:00-23:00,,,"Söğütözü Cad, Eski Saklı Bahçe Karşısı 8/6",39.9167065,32.8056799,"https://www.google.com/maps/search/?api=1&query=39.9167065,32.8056799",node/12057677869,,
Gabo Kitchen Ankara,restaurant,turkish,+90 537 438 44 16,,,Mo-Su 10:30-21:00,,,Şht. H.Temel Kuğuoğlu 17/A,39.9245327,32.8289193,"https://www.google.com/maps/search/?api=1&query=39.9245327,32.8289193",node/11011451353,,
Gadasını Aldığım Mantı,restaurant,,+90 552 977 97 93,,,Mo-Su 09:00-21:00,,,Oğuzhan Asiltürk Caddesi No:9/E,39.9247970,32.8245541,"https://www.google.com/maps/search/?api=1&query=39.9247970,32.8245541",node/12434089270,,
Germeç Piliç,restaurant,turkish,+90 312 230 08 07,,,Mo-Su 11:00-22:00,,,,39.8917855,32.8415110,"https://www.google.com/maps/search/?api=1&query=39.8917855,32.8415110",node/7922758910,,
Gupse Fırın & Cafe,cafe,bagel;breakfast;coffee_shop;local;pancake;sandwich;savory_pancakes,+90 312 222 99 33,,,Mo-Su 07:00-21:00,,,Bişkek Caddesi 55/B,39.9271356,32.8189065,"https://www.google.com/maps/search/?api=1&query=39.9271356,32.8189065",node/8715773617,,
Gıyma Kebap,restaurant,kebab;turkish,+90 312 221 06 01,http://instagram.com/giymakebap,,,,,Bişkek Caddesi 129,39.9224793,32.8177422,"https://www.google.com/maps/search/?api=1&query=39.9224793,32.8177422",node/10712115308,,
Hanzade Lounge,cafe,coffee_shop,+90 312 562 00 00,,,Mo-Su 09:00-23:00,yes,wlan,Servi Sokak,39.9228904,32.8639093,"https://www.google.com/maps/search/?api=1&query=39.9228904,32.8639093",node/9867848736,,
Hypatia Kütüphane Kafe,cafe,,+90 537 237 71 44,,hypatiakutuphanecafe,Mo-We 10:00-23:00; Th-Su 09:00-23:00,,wlan,,39.9179956,32.8591163,"https://www.google.com/maps/search/?api=1&query=39.9179956,32.8591163",node/12282012601,,
Hype Coffee,cafe,coffee_shop;dessert;sandwich,+90 501 477 06 00,https://www.instagram.com/hypecoffeetr/,,Mo-Su 09:00-23:30,yes,wlan,Selanik Caddesi 55,39.9171796,32.8578746,"https://www.google.com/maps/search/?api=1&query=39.9171796,32.8578746",node/11964155598,,
İclal,restaurant,,+90 312 426 60 44,,,Mo-Sa 08:00-21:00,,,,39.9033644,32.8529189,"https://www.google.com/maps/search/?api=1&query=39.9033644,32.8529189",node/11203817936,,
İLO Adana Kebapçısı,restaurant,kebab;turkish,+90 312 513 21 06,,,,,,Bişkek Caddesi 44A,39.9225976,32.8172463,"https://www.google.com/maps/search/?api=1&query=39.9225976,32.8172463",node/10715959905,,
İrene Kültür Evi,cafe,coffee_shop;pancake;pasta,+90 312 433 91 52,,irenecafee,Mo-Su 10:00-23:00,,wlan,,39.9180440,32.8591070,"https://www.google.com/maps/search/?api=1&query=39.9180440,32.8591070",node/9318426309,,
İzmir Kumrucusu Sandviç & Tost,restaurant,,+90 312 476 56 00,,,07:00-00:00,,,,39.8698546,32.8275775,"https://www.google.com/maps/search/?api=1&query=39.8698546,32.8275775",node/11206702642,,
Kadayıfçı Abdullah,restaurant,,+90 312 222 22 58,,,09:00-00:30,,,Dikmen Cd.,39.8707830,32.8293642,"https://www.google.com/maps/search/?api=1&query=39.8707830,32.8293642",node/11203819502,,
Kalender Zebra,restaurant,turkish,+90 312 466 14 01,https://kalenderzebra.com/,,"""Rezervasyon ve talebe göre açılır.""",yes,,,39.8967694,32.8572277,"https://www.google.com/maps/search/?api=1&query=39.8967694,32.8572277",node/12942427410,,
Kamara Coffee & Community,cafe,,+90 554 138 70 11,,,"Mo-Sa 10:00-00:00, Su 10:00-23:30",,,Güvenlik Cd. 47/A,39.9053521,32.8530390,"https://www.google.com/maps/search/?api=1&query=39.9053521,32.8530390",node/529107622,,
Kebapçı Mustafa Birlik,restaurant,kebab;turkish;tea,+90 551 354 50 06,,,Mo-Su 11:00-24:00,yes,wlan,448. Cadde 63,39.8791469,32.8803944,"https://www.google.com/maps/search/?api=1&query=39.8791469,32.8803944",node/13477314241,,
Kitapça,cafe,,+90 530 304 24 22,,kitapcakafe,Mo-Su 10:00-23:00,,wlan,50/A,39.9189893,32.8585980,"https://www.google.com/maps/search/?api=1&query=39.9189893,32.8585980",node/9320777722,,
Klas Pastanesi,cafe,bakery,+90 312 437 18 18,https://www.klaspastaneleri.com/,,,yes,,,39.8996671,32.8758285,"https://www.google.com/maps/search/?api=1&query=39.8996671,32.8758285",node/3921715771,,
Koala Café,cafe,coffee_shop,+90 542 151 65 06,,,Mo-Su 10:00-23:00,yes,yes,Bülten Caddesi 21-C,39.9067845,32.8618714,"https://www.google.com/maps/search/?api=1&query=39.9067845,32.8618714",node/6315712786,,
Konakbay Çibörek-Mantı,restaurant,turkish;tatar,+90 312 286 1066,http://www.konakbay.com.tr/ciborek-manti/menu,,,,,Süleyman Hacıabdullahoğlu Caddesi. 43,39.9057805,32.8214944,"https://www.google.com/maps/search/?api=1&query=39.9057805,32.8214944",node/11787074260,,
Korelee,restaurant,,+90 312 418 06 88,,,,,,Bestekar Sokak 27,39.9098235,32.8588559,"https://www.google.com/maps/search/?api=1&query=39.9098235,32.8588559",node/9424866439,,
Kronotrop,cafe,,+90 312 425 88 89,https://kronotrop.com.tr/,,Mo-Sa 07:00-22:00,,,"Kavaklıdere, Tunus Cd. 11",39.9118366,32.8564128,"https://www.google.com/maps/search/?api=1&query=39.9118366,32.8564128",node/8658535422,,
Kuş Sütü Meze Evi,restaurant,,+90 312 465 08 28,,,,,,Güvenlik Cd. 53/B,39.9045701,32.8529537,"https://www.google.com/maps/search/?api=1&query=39.9045701,32.8529537",node/11203817928,,
Liman Kitap Kafe,cafe,,+90 312 317 98 98,https://www.limankitap.com/,,Mo-Su 09:00-00:00,,wlan,Ufuk Üniversitesi Caddesi 8,39.9093775,32.8104251,"https://www.google.com/maps/search/?api=1&query=39.9093775,32.8104251",node/7272936085,,
Livane Restaurant - Artvin Evi,restaurant,,+90 530 603 99 52,livanerestaurant.com,,,,,841. Sokak 8/1,39.8632496,32.8160477,"https://www.google.com/maps/search/?api=1&query=39.8632496,32.8160477",node/4362419317,,
Lügat Kitap Kahve,cafe,,+90 553 750 88 24,,,Mo-Su 09:00-22:00,,wlan,Kestane Caddesi 11,39.9346050,32.8715672,"https://www.google.com/maps/search/?api=1&query=39.9346050,32.8715672",node/13157728301,,
Maharet Mantı Ankara & Kayseri Yağlaması,restaurant,mantı;kayseri_yağlaması;yağlama;gyoza;tepsi_mantısı,+90 537 388 35 38,https://www.maharetmanti.com/,,,,,Uğur Mumcu Caddesi 79,39.8948802,32.8777019,"https://www.google.com/maps/search/?api=1&query=39.8948802,32.8777019",way/228487007,,
Menendi Pastanesi,cafe,tea;cake;dessert,+90 312 440 6093,,,,,,Kuzgun Caddesi 89/A,39.8951471,32.8499927,"https://www.google.com/maps/search/?api=1&query=39.8951471,32.8499927",node/13457655057,,
Meydan Piknik,restaurant,,+90 312 475 17 03,,,,,,,39.8698335,32.8274970,"https://www.google.com/maps/search/?api=1&query=39.8698335,32.8274970",node/11206702641,,
Meşhur Sanayi Köftecisi,restaurant,barbecue;köfte,+903122868880,,,11:00-22:00,,,1421. Cadde No: 5,39.9117796,32.8204535,"https://www.google.com/maps/search/?api=1&query=39.9117796,32.8204535",node/2286418253,,
Mozaik Kebap,restaurant,,+90 312 476 03 02,http://www.mozaikkebap.com/,,"Mo-Fr 09:00-22:00, Sa-Su 09:00-22:30",,,,39.8696645,32.8273802,"https://www.google.com/maps/search/?api=1&query=39.8696645,32.8273802",node/4362548364,,
Mutlu Lokantası,restaurant,kebab,+90 312 426 28 42,,https://www.instagram.com/mutlu.lokantasi/,,,,Güvenlik Caddesi 69/D,39.9028602,32.8529716,"https://www.google.com/maps/search/?api=1&query=39.9028602,32.8529716",node/7111859184,,
New Jersey Coffee House,cafe,coffee_shop;pasta,+90 534 061 50 59,https://www.newjerseycoffeehouse.com,,Mo-Su 08:00-23:00,yes,yes,Atatürk Bulvarı 223/A,39.9044632,32.8587829,"https://www.google.com/maps/search/?api=1&query=39.9044632,32.8587829",node/11271984486,,
OTTO Lounge,restaurant,,+90 312 473 55 51,,,,,,,39.9020556,32.8101640,"https://www.google.com/maps/search/?api=1&query=39.9020556,32.8101640",node/9669713419,,
Ova Piknik,restaurant,,+90 312 448 27 97,,,,,,,39.8996326,32.8750656,"https://www.google.com/maps/search/?api=1&query=39.8996326,32.8750656",way/228185913,,
Pide MAX,restaurant,turkish,+90 312 490 74 75,,,,,,,39.8645535,32.8593885,"https://www.google.com/maps/search/?api=1&query=39.8645535,32.8593885",node/4886017502,,
Quito Coffee,cafe,coffee_shop,+90 532 550 0061,https://www.instagram.com/quitocoffee/,,Mo-Su 08:00-23:00,yes,wlan,Selanik Caddesi 82,39.9161221,32.8582641,"https://www.google.com/maps/search/?api=1&query=39.9161221,32.8582641",node/9318426315,,
Sanat Edebiyat Kafe,cafe,,+90 542 149 80 62,,,24/7,,wlan,Selanik Caddesi 26,39.9204598,32.8559029,"https://www.google.com/maps/search/?api=1&query=39.9204598,32.8559029",node/10690451705,,
Sobe Döner,restaurant,regional,+90 312 473 40 90,,,,,,1324. Cadde 3A,39.8900110,32.8282564,"https://www.google.com/maps/search/?api=1&query=39.8900110,32.8282564",node/2952534836,,
Süslü Cafe,cafe,,+90 312 223 11 93,,,,,,Kazakistan Caddesi,39.9210315,32.8231731,"https://www.google.com/maps/search/?api=1&query=39.9210315,32.8231731",node/13990309903,,
Tavacı Recep Usta Parkvadi,restaurant,,+90 312 443 21 21,https://www.recepustaparkvadi.com/,,,,,,39.8847065,32.8458959,"https://www.google.com/maps/search/?api=1&query=39.8847065,32.8458959",way/1087745638,,
The Italian Cut,restaurant,italian;italian_pizza,+90 312 222 00 77,,,,,,Azerbaycan Cd. (3. Cadde),39.9203063,32.8296720,"https://www.google.com/maps/search/?api=1&query=39.9203063,32.8296720",node/4452950189,,
Urumchi Uyghur Restaurant,restaurant,uygur,+90 312 433 52 04,https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MDIyOTMxMTIwMzk2NDU4?story_media_id=3469339711221522735&igsh=MTY0aXNxeWU0ams2eQ==,,Mo-St 11:30-21:30,,,Ziya Gökalp Caddesi 76,39.9254574,32.8646989,"https://www.google.com/maps/search/?api=1&query=39.9254574,32.8646989",node/4417189818,,
Uzay Cafe & Piknik,restaurant,local;turkish,+90 312 222 21 66,,,Mo-Sa 09:00-21:00,,,Kazakistan Caddesi 41 D-C,39.9289385,32.8224071,"https://www.google.com/maps/search/?api=1&query=39.9289385,32.8224071",node/8930666717,,
Vegisso,restaurant,,+90 544 363 21 12,,,Tu-Su 10:00-22:00,,wlan,Akyüz Sokak 27/4,39.9138253,32.8633096,"https://www.google.com/maps/search/?api=1&query=39.9138253,32.8633096",node/5481153421,,
Vinni the Vegan Witch,cafe,cake;breakfast;pastry,+90 531 305 75 72,https://www.instagram.com/vinni.theveganwitch?igsh=MTBocG5iMHdwMTBidw==,,,yes,wlan,Gerede Sokak 3/A,39.9014278,32.8550373,"https://www.google.com/maps/search/?api=1&query=39.9014278,32.8550373",node/12745105000,,
Waffle's Land,cafe,,+90 539 214 26 26,,,Mo-Sa 08:30-23:30,,,,39.8711000,32.8258089,"https://www.google.com/maps/search/?api=1&query=39.8711000,32.8258089",node/11203819491,,
Yağmur Pide Kebap Döner Lahmacun,restaurant,,+90 312 222 4200;+90 312 222 4244,,,,,,Kazakistan Caddesi,39.9247092,32.8225038,"https://www.google.com/maps/search/?api=1&query=39.9247092,32.8225038",node/13803049501,,
Yöresel Türk Mutfağı,restaurant,,+90 312 287 68 98,yoreselturkmitfagi.com,,Mo-Su 08:00-20:00,,,1458. sokak 11/A,39.8967695,32.8055783,"https://www.google.com/maps/search/?api=1&query=39.8967695,32.8055783",node/9669708540,,
Yıldız Aspava,restaurant,regional,+90 312 437 66 87,,,,,,,39.9064547,32.8666234,"https://www.google.com/maps/search/?api=1&query=39.9064547,32.8666234",node/75324389,,
Zigana Pide,restaurant,turkish,+90 312 212 61 06,,,,,,Bişkek Caddesi 34,39.9234709,32.8174718,"https://www.google.com/maps/search/?api=1&query=39.9234709,32.8174718",node/6762386988,,
Çeyrek,restaurant,kebab;turkish,+90 312 335 0102,,,Mo-Su 11:00-22:00,,,Şehit Mehmet Aras Sokak,39.9197417,32.8302081,"https://www.google.com/maps/search/?api=1&query=39.9197417,32.8302081",node/13752993801,,
Çiçek Lokantası,restaurant,,+90 312 284 08 88,https://ciceklokantasi.com.tr/,,,,,2176. Cadde,39.9100052,32.7984817,"https://www.google.com/maps/search/?api=1&query=39.9100052,32.7984817",node/8972429118,,
Çiğköftesim,restaurant,turkish,+90 552 678 9090,https://www.cigkoftesim.com,,Mo-Su 11:00-24:00,yes,yes,Başçavuş Sokağı 111C,39.9066832,32.8695892,"https://www.google.com/maps/search/?api=1&query=39.9066832,32.8695892",node/14093582340,,
Çukurağa Sofrası,restaurant,,+90 312 223 09 63,http://cukuraga.com.tr/,,Mo-Su 09:00-01:00,,,Bosna Hersek Caddesi 22,39.9166218,32.8187585,"https://www.google.com/maps/search/?api=1&query=39.9166218,32.8187585",node/9689419637,,
Öveçler Dürümcüsü,restaurant,kebab;turkish,+90 312 472 00 50,,,"Mo-Th 11:30-22:30; Fr,Su 14:00-22:30; Sa 12:00-22:30",yes,no,,39.8904885,32.8232482,"https://www.google.com/maps/search/?api=1&query=39.8904885,32.8232482",node/9917681890,,
Şehrize Mantı,restaurant,dumplings;turkish,+90 312 230 46 06,,,Mo-Su 08:30-03:00,,,Gazi Mustafa Kemal Bulvarı 55/B,39.9270670,32.8468371,"https://www.google.com/maps/search/?api=1&query=39.9270670,32.8468371",node/6873843409,,
